3/31/2021 14:41,KINGDOM HEARTS FINAL MIX,Final Mix Master,Silver
4/1/2021 8:12,KINGDOM HEARTS II FINAL MIX,Struggle Champion,Bronze
4/1/2021 9:48,KINGDOM HEARTS II FINAL MIX,Summer's End,Bronze
4/4/2021 10:45,Maquette,Open Sesame,bronze
4/4/2021 10:49,Maquette,The Gardens,silver
4/4/2021 10:54,Maquette,Precise Placement,bronze
4/4/2021 10:57,Maquette,Size Manipulator,gold
4/4/2021 11:17,Maquette,The Maquette,silver
4/4/2021 12:02,Maquette,The Gateways,silver
4/4/2021 12:42,Maquette,The Wedge,silver
4/4/2021 12:47,Maquette,The Escape,silver
4/4/2021 13:05,Maquette,The Spiral,silver
4/4/2021 13:26,Maquette,The Conclusion,gold
4/4/2021 13:26,Maquette,The Exchange,silver
4/4/2021 20:31,Yakuza 3 Remastered,Fowl Play,Bronze
4/4/2021 20:54,Yakuza 3 Remastered,Mad Dog Tamed,Bronze
4/5/2021 5:47,Yakuza 3 Remastered,Snake Charmer,Bronze
4/8/2021 1:08,Yakuza 3 Remastered,Unwavering Shogi Player,Bronze
4/9/2021 2:17,Don't Starve Together: Console Edition,Sunday Best,Bronze
4/10/2021 3:10,Don't Starve Together: Console Edition,Bachelor of Science,Bronze
4/10/2021 3:47,Don't Starve Together: Console Edition,Master of Science,Bronze
4/10/2021 4:20,Don't Starve Together: Console Edition,Worming My Way In,Bronze
4/10/2021 4:34,Don't Starve Together: Console Edition,A Giving Heart,Silver
4/10/2021 5:30,Don't Starve Together: Console Edition,Not Dead Yet,Bronze
4/10/2021 6:32,Don't Starve Together: Console Edition,Open Sesame,Bronze
4/10/2021 7:03,Don't Starve Together: Console Edition,Quakin' in My Boots,Bronze
4/11/2021 0:43,Yakuza 3 Remastered,Exposed Dragon,Bronze
4/13/2021 3:55,Yakuza 3 Remastered,Power Driver,Bronze
4/14/2021 5:48,Yakuza 3 Remastered,With Family Like Mine...,Bronze
4/14/2021 6:44,Yakuza 3 Remastered,Key Collector,Bronze
4/15/2021 4:04,Yakuza 3 Remastered,Compulsive Vandal,Bronze
4/15/2021 4:11,Yakuza 3 Remastered,Substory Dabbler,Bronze
4/15/2021 4:42,Yakuza 3 Remastered,People Watcher,Bronze
4/15/2021 4:53,Yakuza 3 Remastered,Heat Action Pro,Bronze
4/17/2021 5:46,Yakuza 3 Remastered,Big Tuna,Bronze
4/18/2021 5:18,Yakuza 3 Remastered,Hat Trick,Bronze
4/18/2021 20:21,Yakuza 3 Remastered,Marathon Runner,Bronze
4/18/2021 20:32,Yakuza 3 Remastered,Tag Hoarder,Bronze
4/20/2021 1:11,Yakuza 3 Remastered,Karaoke King,Bronze
4/20/2021 6:27,Yakuza 3 Remastered,Substory Fan,Bronze
4/20/2021 21:30,Yakuza 3 Remastered,Blogging Debut,Bronze
4/20/2021 22:11,Yakuza 3 Remastered,The Dust Settles,Bronze
4/20/2021 22:26,Yakuza 3 Remastered,Right Up My Alley,Bronze
4/21/2021 0:09,Yakuza 3 Remastered,Pro Gamer,Bronze
4/23/2021 2:47,Yakuza 3 Remastered,Nice Hitter,Bronze
4/23/2021 3:27,Yakuza 3 Remastered,Chip Hoarder,Bronze
4/24/2021 1:59,Apex Legends,Apex Defense,Bronze
4/29/2021 3:51,Yakuza 3 Remastered,Touchy-Feely,Bronze
5/17/2021 2:10,Legendary Edition: Mass Effect,Distinguished Service Medal,silver
5/25/2021 1:26,Legendary Edition: Mass Effect,Quarian Ally,bronze
5/25/2021 1:44,Legendary Edition: Mass Effect,Krogan Ally,bronze
5/25/2021 1:46,Legendary Edition: Mass Effect,Spectre Inductee,bronze
5/25/2021 3:20,Legendary Edition: Mass Effect,Turian Ally,bronze
5/25/2021 3:54,Legendary Edition: Mass Effect,Medal of Exploration I,silver
5/25/2021 4:12,Legendary Edition: Mass Effect,Sentinel Ally,bronze
5/25/2021 4:12,Legendary Edition: Mass Effect,Soldier Ally,bronze
5/25/2021 5:17,Legendary Edition: Mass Effect,Search and Rescue,silver
5/26/2021 1:17,Legendary Edition: Mass Effect,Medal of Exploration II,silver
5/26/2021 1:44,Legendary Edition: Mass Effect,Sabotage Specialist,bronze
5/26/2021 2:37,Mass Effect: Legendary Edition,Recruit,bronze
5/26/2021 3:31,Legendary Edition: Mass Effect,Medal of Exploration III,silver
5/27/2021 4:14,Legendary Edition: Mass Effect,Principled,gold
5/27/2021 4:36,Legendary Edition: Mass Effect,Asari Ally,bronze
5/27/2021 4:53,Legendary Edition: Mass Effect,Electronics Specialist,bronze
5/27/2021 23:06,Legendary Edition: Mass Effect,Honorarium of Corporate Service,silver
5/28/2021 2:11,Legendary Edition: Mass Effect,Colonial Savior,gold
6/6/2021 5:01,Legendary Edition: Mass Effect,AI Hacking Specialist,bronze
6/7/2021 6:16,Legendary Edition: Mass Effect,Damping Specialist,bronze
6/10/2021 3:19,Apex Legends,Apex Legend,Gold
6/10/2021 6:02,Legendary Edition: Mass Effect,First Aid Specialist,bronze
6/11/2021 3:03,Chivalry 2 (PS4),Yadome,silver
6/11/2021 3:14,Chivalry 2 (PS4),Kill 10 Enemies,bronze
6/11/2021 3:28,Chivalry 2 (PS4),Battle Of The Bastards,bronze
6/11/2021 3:52,Chivalry 2 (PS4),This Is Fine,bronze
6/12/2021 1:39,Chivalry 2 (PS4),I got better!,bronze
6/13/2021 1:39,Legendary Edition: Mass Effect,Lift Mastery,bronze
6/13/2021 1:40,Legendary Edition: Mass Effect,Warp Mastery,bronze
6/13/2021 1:53,Legendary Edition: Mass Effect,Stasis Mastery,bronze
6/13/2021 2:09,Legendary Edition: Mass Effect,Barrier Mastery,bronze
6/13/2021 2:10,Legendary Edition: Mass Effect,Throw Mastery,bronze
6/13/2021 2:15,Legendary Edition: Mass Effect,Completionist,gold
6/13/2021 2:52,Legendary Edition: Mass Effect,Singularity Mastery,bronze
6/13/2021 3:18,Legendary Edition: Mass Effect,Medal of Heroism,silver
6/13/2021 6:03,Legendary Edition: Mass Effect,Neural Shock Specialist,bronze
6/13/2021 6:06,Mass Effect: Legendary Edition,Soldier,bronze
6/13/2021 7:30,Legendary Edition: Mass Effect,Charismatic,bronze
6/13/2021 8:38,Legendary Edition: Mass Effect,Council Legion of Merit,silver
6/13/2021 16:47,Mass Effect: Legendary Edition,Paramour I,bronze
6/13/2021 18:47,Ratchet & Clank: Rift Apart,Rift Apart,bronze
6/13/2021 19:20,Ratchet & Clank: Rift Apart,Shiny!,bronze
6/14/2021 2:07,Ratchet & Clank: Rift Apart,Planning Some Destruction,bronze
6/14/2021 2:21,Ratchet & Clank: Rift Apart,Does This Make My Tail Look Big?,silver
6/14/2021 2:51,Ratchet & Clank: Rift Apart,More Than Lint,bronze
6/14/2021 2:53,Ratchet & Clank: Rift Apart,Sartorial Steel,bronze
6/14/2021 3:37,Ratchet & Clank: Rift Apart,Quantum Mechanic,bronze
6/14/2021 3:38,Ratchet & Clank: Rift Apart,Full Rack,silver
6/14/2021 3:52,Ratchet & Clank: Rift Apart,Hide 'N Seekerpede,bronze
6/14/2021 4:03,Ratchet & Clank: Rift Apart,BOING!,bronze
6/14/2021 4:11,Ratchet & Clank: Rift Apart,Lombax and Chill,bronze
6/14/2021 4:11,Ratchet & Clank: Rift Apart,It's So Fluffy!,bronze
6/14/2021 4:46,Ratchet & Clank: Rift Apart,Extinction Event,bronze
6/14/2021 5:46,Ratchet & Clank: Rift Apart,No Need for Multiball,bronze
6/14/2021 5:46,Ratchet & Clank: Rift Apart,Victory!,bronze
6/14/2021 6:13,Ratchet & Clank: Rift Apart,Nooks and Crannies,silver
6/14/2021 6:14,Ratchet & Clank: Rift Apart,Extreme Gardening,bronze
6/14/2021 6:35,Ratchet & Clank: Rift Apart,Feeding Friendsy,bronze
6/14/2021 7:06,Ratchet & Clank: Rift Apart,Must Go Faster,bronze
6/15/2021 2:48,Ratchet & Clank: Rift Apart,They Blow Up So Fast,silver
6/15/2021 3:21,Ratchet & Clank: Rift Apart,Don't You Walk Away From Me,bronze
6/15/2021 4:05,Ratchet & Clank: Rift Apart,Max Relax,bronze
6/15/2021 4:18,Ratchet & Clank: Rift Apart,Might've Broken Something,bronze
6/15/2021 4:50,Ratchet & Clank: Rift Apart,Life of the Party,bronze
6/15/2021 5:09,Ratchet & Clank: Rift Apart,"Sweet, Sweet Victory",bronze
6/15/2021 5:29,Ratchet & Clank: Rift Apart,Just Stay Down,bronze
6/15/2021 5:47,Ratchet & Clank: Rift Apart,This Crystal Is My Things,bronze
6/15/2021 22:12,Ratchet & Clank: Rift Apart,Alert the Sponsors,bronze
6/15/2021 23:07,Ratchet & Clank: Rift Apart,Emotional Support Robot,bronze
6/16/2021 0:18,Ratchet & Clank: Rift Apart,Icebreaker,bronze
6/16/2021 0:31,Ratchet & Clank: Rift Apart,It's Loose!,bronze
6/16/2021 0:34,Ratchet & Clank: Rift Apart,Shifty Character,bronze
6/16/2021 0:43,Ratchet & Clank: Rift Apart,There's Even a Cupholder,silver
6/16/2021 2:50,Ratchet & Clank: Rift Apart,Rated Aaarrr!,bronze
6/16/2021 3:03,Ratchet & Clank: Rift Apart,Hole Puncher,bronze
6/16/2021 3:25,Ratchet & Clank: Rift Apart,Return to Sender,bronze
6/16/2021 3:47,Ratchet & Clank: Rift Apart,"Glitch, Uh, Finds a Way",bronze
6/16/2021 4:21,Ratchet & Clank: Rift Apart,No Bones About It,bronze
6/16/2021 5:08,Ratchet & Clank: Rift Apart,I'm the Warden Now,bronze
6/16/2021 5:20,Ratchet & Clank: Rift Apart,Can't Stop Me,silver
6/16/2021 5:43,Ratchet & Clank: Rift Apart,Aim to Misbehave,silver
6/16/2021 6:03,Ratchet & Clank: Rift Apart,UnBEARably Awesome,gold
6/16/2021 20:27,Ratchet & Clank: Rift Apart,2 Fuzz 2 Nefarious,gold
6/16/2021 20:44,Ratchet & Clank: Rift Apart,Return Policy,bronze
6/16/2021 20:51,Ratchet & Clank: Rift Apart,Fully Stacked,gold
6/16/2021 23:40,Ratchet & Clank: Rift Apart,Hey Lombax DJ,bronze
6/16/2021 23:40,Ratchet & Clank: Rift Apart,Masters of the Multiverse,platinum
6/17/2021 3:37,Yakuza Kiwami 2,Dragon of Legend,Gold
6/17/2021 3:37,Yakuza Kiwami 2,YAKUZA KIWAMI 2,Platinum
6/17/2021 3:50,Legendary Edition: Mass Effect,Meritorious Service Medal,silver
6/17/2021 4:24,Legendary Edition: Mass Effect,Medal of Honor,gold
6/17/2021 7:42,Legendary Edition: Mass Effect,Archivist,silver
6/17/2021 7:42,Legendary Edition: Mass Effect,N7 Elite,platinum
6/19/2021 0:07,Grand Theft Auto V (PS4),Decorated,Silver
6/19/2021 3:25,Grand Theft Auto V (PS4),Numero Uno,Bronze
6/21/2021 2:28,Grand Theft Auto V (PS4),Los Santos Legend,Platinum
6/21/2021 2:28,Grand Theft Auto V (PS4),Above the Law,Gold
6/22/2021 3:56,GreedFall (PS4),In the footsteps of the masters,Bronze
6/24/2021 2:16,Tom Clancy's Ghost Recon Wildlands,Rebel Sympathizer,Bronze
6/24/2021 3:18,Tom Clancy's Ghost Recon Wildlands,A Good Start,Bronze
6/24/2021 3:22,Tom Clancy's Ghost Recon Wildlands,Legend Hunter,Bronze
6/24/2021 4:30,Assassin's Creed Origins,Fatality!,Silver
6/25/2021 1:52,GreedFall (PS4),All sails set!,Bronze
6/25/2021 2:01,GreedFall (PS4),Full of talent,Bronze
6/25/2021 3:44,GreedFall (PS4),On the path to power,Bronze
6/26/2021 2:55,Tom Clancy's Ghost Recon Wildlands,Teamwork!,Bronze
6/26/2021 4:36,GreedFall (PS4),The wrecker,Bronze
6/26/2021 4:37,GreedFall (PS4),Worthy of legends,Bronze
6/26/2021 18:36,GreedFall (PS4),Musketeer,Bronze
6/27/2021 5:45,GreedFall (PS4),The Prince's secrets,Bronze
6/27/2021 5:56,GreedFall (PS4),In search of perfection,Bronze
6/28/2021 0:22,Sackboy: A Big Adventure (PS4),Let's twist again…,Bronze
6/28/2021 0:33,Sackboy: A Big Adventure (PS4),Gymnastic Fantastic,Bronze
6/28/2021 0:44,Sackboy: A Big Adventure (PS4),Daydream Believer,Bronze
6/28/2021 1:18,Sackboy: A Big Adventure (PS4),Stop! Thief!,Bronze
6/28/2021 1:27,Sackboy: A Big Adventure (PS4),Fun Multiplied,Bronze
6/28/2021 1:41,Sackboy: A Big Adventure (PS4),Sore Winner,Bronze
6/28/2021 1:41,Sackboy: A Big Adventure (PS4),Slap Attack,Bronze
6/28/2021 1:42,Sackboy: A Big Adventure (PS4),Squired Up,Bronze
6/28/2021 1:45,Sackboy: A Big Adventure (PS4),Knights of Gold,Bronze
6/28/2021 1:45,Sackboy: A Big Adventure (PS4),Master of One,Silver
6/28/2021 1:51,Sackboy: A Big Adventure (PS4),Fashionista!,Bronze
6/28/2021 1:54,Sackboy: A Big Adventure (PS4),Re-Mix-Master,Bronze
6/28/2021 4:56,GreedFall (PS4),Missed coup,Silver
6/28/2021 5:31,GreedFall (PS4),Full pockets,Bronze
6/28/2021 19:28,GreedFall (PS4),Curiosity cabinet,Bronze
6/29/2021 1:07,GreedFall (PS4),Master of the woods,Bronze
6/29/2021 2:31,GreedFall (PS4),The legend of the plains,Bronze
6/29/2021 3:04,GreedFall (PS4),Swamp creature,Bronze
6/29/2021 5:17,GreedFall (PS4),Deceitful,Bronze
6/29/2021 5:22,GreedFall (PS4),Another sip?,Bronze
6/29/2021 5:23,GreedFall (PS4),King of the peaks,Bronze
6/29/2021 5:23,GreedFall (PS4),Arena Excellence,Bronze
6/29/2021 5:40,GreedFall (PS4),Incomparable technique,Bronze
6/30/2021 2:07,Tom Clancy's Rainbow Six Siege (PS4),Ride Shotgun,Bronze
6/30/2021 4:52,GreedFall (PS4),Melee virtuoso,Bronze
6/30/2021 4:57,GreedFall (PS4),Alchemist,Bronze
6/30/2021 6:23,Assassin's Creed Origins,I Can See My House From Here!,Bronze
6/30/2021 19:39,Assassin's Creed Origins,The Harder They Fall,Silver
6/30/2021 23:00,Assassin's Creed Origins,I'm Done Learning,Silver
6/30/2021 23:44,Assassin's Creed Origins,Roooaaarrrrr!,Bronze
7/1/2021 0:16,Assassin's Creed Origins,Set-up Date,Bronze
7/1/2021 1:04,Assassin's Creed Origins,Circle of Life,Bronze
7/1/2021 3:14,Assassin's Creed Origins,Overdesign,Bronze
7/1/2021 4:44,Assassin's Creed Origins,Overheating,Bronze
7/1/2021 4:48,Assassin's Creed Origins,"Reduce, Reuse, Recycle",Bronze
7/1/2021 4:58,Assassin's Creed Origins,Road Rage,Bronze
7/1/2021 5:43,Assassin's Creed Origins,Where's My Black Flag?,Bronze
7/2/2021 3:06,Assassin's Creed Origins,Master Diver,Silver
7/2/2021 3:45,Assassin's Creed Origins,Words of Wisdom,Bronze
7/2/2021 6:09,Assassin's Creed Origins,Old Habits,Silver
7/2/2021 6:24,Assassin's Creed Origins,Seven Farmers,Bronze
7/3/2021 6:27,Assassin's Creed Origins,For Those About to Die…,Silver
7/3/2021 6:28,Assassin's Creed Origins,Reporter,Bronze
7/3/2021 6:59,Assassin's Creed Origins,BOOM!,Bronze
7/3/2021 7:02,Assassin's Creed Origins,Earn Them All!,Platinum
7/3/2021 7:02,Assassin's Creed Origins,Namaste,Bronze
7/7/2021 5:53,GreedFall (PS4),Love and the sea,Bronze
7/7/2021 5:56,GreedFall (PS4),Guardian of love,Bronze
7/7/2021 6:21,GreedFall (PS4),Expertise,Bronze
7/8/2021 0:08,GreedFall (PS4),The monsters' nightmare,Bronze
7/8/2021 2:35,GreedFall (PS4),Coercive diplomacy,Bronze
7/8/2021 6:00,GreedFall (PS4),Thélème's chosen,Bronze
7/8/2021 23:54,GreedFall (PS4),Carants,Bronze
7/9/2021 1:51,Sackboy: A Big Adventure (PS4),"You've got potential, squire!",Bronze
7/9/2021 3:12,GreedFall (PS4),Hunting with hounds,Bronze
7/9/2021 3:13,GreedFall (PS4),Poisoning artist,Bronze
7/9/2021 5:35,GreedFall (PS4),Serve to convince,Bronze
7/11/2021 2:06,GreedFall (PS4),Waterproof,Bronze
7/11/2021 2:51,GreedFall (PS4),Friendship above all,Bronze
7/11/2021 2:59,GreedFall (PS4),Minundhanem,Bronze
7/11/2021 6:30,GreedFall (PS4),Favoured with the Bridge Alliance,Bronze
7/11/2021 8:08,GreedFall (PS4),Outside the stone prison,Bronze
7/12/2021 5:59,GreedFall (PS4),Influence game,Bronze
